id;name;surname;email;cell
1;mobile Fish;Home Loan Account Table Computer;Jadon_Streich@gmail.com;alarm
2;Tasty Metal Bacon;red Chips Soap;Leopold43@gmail.com;intangible
3;enable Gorgeous Frozen Pants;Common;Liana_Dooley@hotmail.com;Mississippi Refined Rubber Chicken Table
4;Automotive;Planner cross-platform access;Dariana44@gmail.com;Rubber Buckinghamshire Games
5;incentivize Tuna copy;Costa Rica Mayotte;Alexandrea_Wisozk44@gmail.com;e-enable Communications capacitor
6;Awesome;Aruba;Eric_Sporer@hotmail.com;South Georgia and the South Sandwich Islands
7;compelling mission-critical;bifurcated scalable;Araceli.Armstrong77@gmail.com;orange Books
8;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;Rossie.Mueller@hotmail.com;Fantastic Plastic Chicken
9;payment;withdrawal COM;Geovanny_Carter84@yahoo.com;hard drive Robust Networked
10;Poland;Small partnerships;Alexandrea.Tremblay@gmail.com;Montana
